recommendationid,appid,game,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
76159665,1046030,ISLANDERS,76561198112928489,0,35,340,0,340,1600417739,english,"Gorgeous art, relaxing music and just the right level of challenging.  Bought on sale for 2€ and feel like I've scammed the devs.",1600417941,1600417941,1,6,2,0.587737858295441,0,1,0,0,0,""
76159474,1046030,ISLANDERS,76561198095753665,0,6,65,0,65,1600417018,schinese,"小清新的画风很好，看着很干净舒服。玩法就是合理放置建筑获得分数解锁接下来的建筑和新的小岛。一开始还想这规划下怎么好看怎么放，后面不得不计算分数去决定摆放。看着就会乱七八糟。逼死强迫症。和我对这游戏一开始的期待不符合，所以决定退款啦，但是游戏本身还是很不错的，轻松简单。还是给好评。",1600417529,1600417529,1,1,0,0.523809552192688,0,1,0,0,0,""
76157553,1046030,ISLANDERS,76561198167898527,0,1,501,0,240,1634624756,english,"This game is so relaxing - It's almost meditative! It's incredibly intuitive and easy to jump in and get lost for a few hours.",1600412912,1600412912,1,0,0,0.476190477609634,0,1,0,0,0,""
76152694,1046030,ISLANDERS,76561198045736123,0,8,427,0,427,1600401872,english,"Very simple game design done extremely well. Good flow, puzzle solving, and aesthetics. I wish I payed more for this game because the devs deserve it.",1600402007,1600402007,1,0,0,0.0,0,1,0,0,0,""
76152653,1046030,ISLANDERS,76561198095224089,310,78,7221,0,1332,1692255242,english,"Mechanics are simple which makes the game easy to get into, yet there is a lot of room to challenge yourself if you want to squeeze out every last point in hi score mode. You can also embrace your creative side in sandbox mode.",1600401893,1600401893,1,0,0,0.0,0,1,0,0,0,""
76152466,1046030,ISLANDERS,76561197992032526,0,23,1240,0,287,1683886166,english,"Much more relaxed than any other city builder I've seen. ISLANDERS is a really nice way to spend some time.",1600401468,1600401468,1,0,0,0.0,0,1,0,0,0,""
76150377,1046030,ISLANDERS,76561198798997156,196,14,1456,0,718,1662320791,english,"I got this game on sale and wished I didn't, because the developer deserves more that than price I got it on sale for. I will likely get well over 100 hours in this game as it sucks you right in for a great experience. As opposed to a typical city builder with mechanics that are either too complex for most people or too limiting for a fun and unique experience, this game offers simple mechanics that are still complex and diverse enough for a wide range of players to enjoy. If you have extra cash laying around in your steam wallet give this a pick up, you wont regret it!",1600397136,1600397136,1,1,0,0.523809552192688,0,1,0,0,0,""
76146215,1046030,ISLANDERS,76561198119036374,112,6,2253,0,542,1660290379,spanish,"Better than Sim City",1600389241,1600389241,1,0,0,0.0,0,1,0,0,0,""
76145439,1046030,ISLANDERS,76561198148057233,0,8,424,0,424,1600387738,english,"Great catchy game. I only paid 2 euro for it but it is totally worth the full price. It looks simple at first but it really gets your mind to work after a couple of hours. I managed to get almost all achievements (except 1) in around 7h of playtime so I guess that is pretty fair for a 2 euro game.",1600387802,1600387802,1,0,0,0.0,0,1,0,0,0,""
76145389,1046030,ISLANDERS,76561198039817055,1667,2,658,0,361,1690663600,english,"The game is really simple at start, but you quickly realize there is so much more to this game. It's relaxing yet engaging, and has a lot of replayability value. Highly recommend.",1600387737,1600387737,1,0,0,0.0,0,1,0,0,0,""
76144928,1046030,ISLANDERS,76561198120553757,0,2,221,0,101,1600473923,english,"Got this on sale in the middle of a depressive episode; 10/10 good distraction & mood lifter. Best couple dollars I could've spent right now! :)",1600386873,1600386873,1,0,0,0.0,0,1,0,0,0,""
76143712,1046030,ISLANDERS,76561198025052416,142,19,1099,0,427,1685828556,english,"Pretty simple but strangely engrossing. Chill out, play as long as you like, your progress will be saved if you need to step away from a while. While minimalistic, there is definite strategy you have to use to get your points up. Each island offers its own challenge and it's unpredictable.",1600384446,1600384446,1,0,0,0.0,0,1,0,0,0,""
76143618,1046030,ISLANDERS,76561198814193945,0,4,886,0,184,1687190397,english,"I enjoy the calming atmosphere of this game and how quickly you can jump into it. While it's simple in it's scope, it's also fun to optimize the construction of your islands. I also appreciate being forced to move onto a new island after a bit as it keeps me from obsessing over any individual one for too long.",1600384254,1600384254,1,0,0,0.0,0,1,0,0,0,""
76143112,1046030,ISLANDERS,76561198156414180,163,25,719,0,175,1601880717,english,"Its very good and very simple.  Its not worth $5 but definitely $2. The only thing I wish was that it became more complicated / harder the longer you went on. Theres no motivation to keep playing after you see all the buildings. Maybe some challenge modes or something like that? Difficulty settings with a star rating after you lose? Just something to work towards instead of it being mindless.",1600383271,1600383334,1,1,0,0.486725658178329,0,1,0,0,0,""
76141031,1046030,ISLANDERS,76561198166159482,0,9,646,0,354,1693012874,english,"Peaceful, beautiful, and wonderfully relaxing. Well worth the price.",1600379466,1600379466,1,0,0,0.0,0,1,0,0,0,""
76140970,1046030,ISLANDERS,76561198140397640,248,36,60,0,60,1600379129,french,"Jeu sympathique mais vite répétitif",1600379363,1600379363,1,0,0,0.0,0,1,0,0,0,""
76139242,1046030,ISLANDERS,76561198221149760,225,14,408,0,377,1600899969,brazilian,"Bem divertido, o gráfico é muito bonitinho, roda até no meu laptop que é menos potente que um samsung pocket e é bem barato",1600376530,1600376530,1,1,0,0.523809552192688,0,1,0,0,0,""
76134918,1046030,ISLANDERS,76561199014760641,0,26,59,0,33,1604803333,english,"Highly accessible, perfect for a round here and there just to wind down and relax, Islanders would never be anyone's GOTY, but it's filling its niche spectacularly. If you're even remotely intrigued by this simple and chilled-out city builder, it's worth the plunge.",1600370218,1600370218,1,0,0,0.0,0,1,0,0,0,""
76133677,1046030,ISLANDERS,76561198207915896,329,19,429,0,214,1600472045,english,"simple and fun",1600368639,1600368639,1,0,0,0.0,0,1,0,0,0,""
76132919,1046030,ISLANDERS,76561198003521622,1473,824,491,0,374,1684259595,tchinese,"該款為輕鬆小品遊戲，主要是透過放置建築物以及相關連鎖來獲取積分，然後一直持續挑戰至分數無法達到進入下一個島的地步，內容雖簡單，但耐玩性相當的高，如果是苦於常常有一些小時間，想玩一些簡單遊戲的人，可以考慮入手該款，該款在特價時是相當便宜的，可以考慮看看。",1600367564,1600367564,1,1,0,0.519999980926514,0,1,0,0,0,""
